Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
1, GJ10-350001, Bull. Materials Science, 2009, v. 032  p. 0083, annealed for 2h at 525K, , , 2.36, , , , , , , , , , 
2, GJ10-350002, Bull. Materials Science, 2009, v. 032  p. 0083, annealed for 2h at 525K, , , 2.35, , , , , , , , , , 
3, GJ10-350003, Bull. Materials Science, 2009, v. 032  p. 0083, annealed for 2h at 525K, , , 2.33, , , , , , , , , , 
4, GJ10-350004, Bull. Materials Science, 2009, v. 032  p. 0083, annealed for 2h at 525K, , , 2.31, , , , , , , , , , 
5, GJ10-350005, Bull. Materials Science, 2009, v. 032  p. 0083, annealed for 2h at 525K, , , 2.3, , , , , , , , , , 
6, GJ10-350013, Bull. Materials Science, 2009, v. 032  p. 0597, annealed below Tg., , , 1.98, , , 38.44, , , , , , , 
7, GJ10-350014, Bull. Materials Science, 2009, v. 032  p. 0597, annealed below Tg., , , 3.2, , , 37.22, , , , , , , 
8, GJ10-350015, Bull. Materials Science, 2009, v. 032  p. 0597, annealed below Tg., , , 2.46, , , 10.77, , , , , , , 
9, GJ10-350016, Bull. Materials Science, 2009, v. 032  p. 0597, annealed below Tg., , , 4.22, , , 86.32, , , , , , , 
10, GJ10-350017, Bull. Materials Science, 2009, v. 032  p. 0597, annealed below Tg., , , 3.4, , , 17.84, , , , , , , 
11, GJ28-350018, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 5.6027, , , , , , , , , , 
12, GJ28-350019, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 5.6102, , , , , , , , , , 
13, GJ28-350020, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 8.1301, , , , , , , , , , 
14, GJ28-350021, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 10.5778, , , , , , , , , , 
15, GJ28-350022, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 10.2894, , , , , , , , , , 
16, GJ28-350023, Bull. Materials Science, 2010, v. 033  p. 0391, , , , 8.55, , , , , , , , , , 
17, GJ09-350038, Bull. Materials Science, 2011, v. 034  p. 0775, , , , 2.68, , , 73.0, , , , , , , 
18, XJ03-350078, Bull. Materials Science, 2012, v. 035  p. 0853, 1100C for 2h, , , , , , , , 1700.0, , , 1700.0, , 
19, XJ03-350079, Bull. Materials Science, 2012, v. 035  p. 0853, 1100C for 2h., , , , , , , , 1300.0, , , 1300.0, , 
20, GJ28-350080, Bull. Materials Science, 2012, v. 035  p. 0961, annealed at 300C for 2h., , , 5.3744, , , , , 3447.0, , , , , 3447.0
21, GJ28-350081, Bull. Materials Science, 2012, v. 035  p. 0961, annealed at 300C for 2h., , , 5.6637, , , , , 3225.0, , , , , 3225.0
22, GJ28-350082, Bull. Materials Science, 2012, v. 035  p. 0961, annealed at 300C for 2h., , , 6.0731, , , , , 3116.0, , , , , 3116.0
23, GJ28-350083, Bull. Materials Science, 2012, v. 035  p. 0961, annealed at 300C for 2h., , , 5.4116, , , , , 2910.0, , , , , 2910.0
24, GJ10-350105, Glass Physics & Chemistry, 2012, v. 038  p. 0077, annealed at 200C for 1h., , , 4.19, , , , , , , , , , 
25, GJ10-350106, Glass Physics & Chemistry, 2012, v. 038  p. 0077, annealed at 200C for 1h., , , 4.2015, , , , , , , , , , 
26, GJ10-350107, Glass Physics & Chemistry, 2012, v. 038  p. 0077, annealed at 200C for 1h., , , 4.2012, , , , , , , , , , 
27, XJ03-350120, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 860C 1h + 1100C 2h, 2.654, , , , , , , , , , , , 
28, XJ03-350121, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 860C 1h + 1100C 2h, 2.669, , , , , , , , , , , , 
29, XJ03-350122, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 860C 1h + 1100C 2h, 2.713, , , , , , , , , , , , 
30, XJ03-350123, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 860C 1h + 1120C 2h, 2.774, , , , , , , , , , , , 
31, XJ03-350124, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 860C 1h + 1100C 2h, 2.816, , , , , , , , , , , , 
32, XJ03-350125, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 1100C 2h, 2.635, , , , , , , , , , , , 
33, XJ03-350126, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 1100C 2h, 2.657, , , , , , , , , , , , 
34, XJ03-350127, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 1100C 2h, 2.703, , , , , , , , , , , , 
35, XJ03-350128, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 1100C 2h, 2.742, , , , , , , , , , , , 
36, XJ03-350129, Glass Physics & Chemistry, 2012, v. 038  p. 0109, Sintering: 1100C 2h, 2.781, , , , , , , , , , , , 
37, GJ05-350200, Glass Physics & Chemistry, 2013, v. 039  p. 0011, , , , 2.455, , , , , , , , , , 
38, GJ05-350201, Glass Physics & Chemistry, 2013, v. 039  p. 0011, , , , 2.512, , , , , , , , , , 
39, GJ05-350202, Glass Physics & Chemistry, 2013, v. 039  p. 0011, , , , 2.342, , , , , , , , , , 
40, GJ10-350203, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.83, , , , , , , , , , 
41, GJ10-350204, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.83, , , , , , , , , , 
42, GJ10-350205, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.85, , , , , , , , , , 
43, GJ10-350206, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.91, , , , , , , , , , 
44, GJ10-350207, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.93, , , , , , , , , , 
45, GJ10-350208, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.95, , , , , , , , , , 
46, GJ10-350209, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 1.96, , , , , , , , , , 
47, GJ10-350210, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.0, , , , , , , , , , 
48, GJ10-350211, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.02, , , , , , , , , , 
49, GJ10-350212, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.03, , , , , , , , , , 
50, GJ10-350213, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.09, , , , , , , , , , 
51, GJ10-350214, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.1, , , , , , , , , , 
52, GJ10-350215, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.13, , , , , , , , , , 
53, GJ10-350216, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.17, , , , , , , , , , 
54, GJ10-350217, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.25, , , , , , , , , , 
55, GJ10-350218, Glass Physics & Chemistry, 2013, v. 039  p. 0019, annealed at 10-15C lower than Tg for 1h., , , 2.25, , , , , , , , , , 
56, GJ10-350219, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.82, , , , , 420.0, , , , , 420.0
57, GJ10-350220, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.67, , , , , 434.0, , , , , 434.0
58, GJ10-350221, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.54, , , , , 450.0, , , , , 450.0
59, GJ10-350222, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.47, , , , , 480.0, , , , , 480.0
60, GJ10-350223, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.38, , , , , 484.0, , , , , 484.0
61, GJ10-350224, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.12, , , , , 492.0, , , , , 492.0
62, GJ10-350225, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 5.088, , , , , , , , , , 
63, GJ10-350226, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 5.949, , , , , , , , , , 
64, GJ10-350227, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 5.957, , , , , , , , , , 
65, GJ10-350228, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 2.97, , , , , , , , , , 
66, GJ10-350229, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.13, , , , , , , , , , 
67, GJ10-350230, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.3, , , , , , , , , , 
68, GJ10-350231, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.46, , , , , , , , , , 
69, GJ10-350232, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.57, , , , , , , , , , 
70, GJ10-350233, Glass Physics & Chemistry, 2013, v. 039  p. 0032, annealed at 15K lower than Tg for 10-12h., , , 3.75, , , , , , , , , , 
71, XJ06-350250, Glass Physics & Chemistry, 2013, v. 039  p. 0142, 660C 2h + 815C 2h, , , 2.5291, , , , , 5477.514, , 5477.514, , , 
72, XJ06-350251, Glass Physics & Chemistry, 2013, v. 039  p. 0142, 580C 24h + 660C 2h + 815C 2h, , , 2.5387, , , , , 5947.228, , 5947.228, , , 
73, GJ05-350257, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 4.635, , , , , , , , , , 
74, GJ05-350258, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 4.522, , , , , , , , , , 
75, GJ05-350259, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 4.316, , , , , , , , , , 
76, GJ05-350260, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 3.682, , , , , , , , , , 
77, GJ05-350261, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 3.422, , , , , , , , , , 
78, GJ05-350262, Glass Physics & Chemistry, 2013, v. 039  p. 0162, annealed at 400C for 3h., , , 3.354, , , , , , , , , , 
79, GJ03-350296, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.913, , , , , , , , , , 
80, GJ03-350297, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.786, , , , , , , , , , 
81, GJ03-350298, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.672, , , , , , , , , , 
82, GJ03-350299, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.92, , , , , , , , , , 
83, GJ03-350300, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.779, , , , , , , , , , 
84, GJ03-350301, Glass Physics & Chemistry, 2013, v. 039  p. 0248, , , , 2.694, , , , , , , , , , 
85, GJ28-350314, Glass Physics & Chemistry, 2013, v. 039  p. 0473, , , , 4.577, , , , , , , , , , 
86, GJ28-350315, Glass Physics & Chemistry, 2013, v. 039  p. 0473, , , , 4.678, , , , , , , , , , 
87, GJ28-350316, Glass Physics & Chemistry, 2013, v. 039  p. 0473, , , , 4.54, , , , , , , , , , 
88, GJ28-350317, Glass Physics & Chemistry, 2013, v. 039  p. 0473, , , , 4.526, , , , , , , , , , 
89, GJ28-350318, Glass Physics & Chemistry, 2013, v. 039  p. 0473, , , , 4.501, , , , , , , , , , 
90, GJ20-350319, Applied Optics, 2011, v. 050  p. 0835, annealed at 480C for 3h.  fiber drawing: 700C, , , 2.833, , , , , , , , , , 
91, GJ20-350320, Applied Optics, 2011, v. 050  p. 0835, annealed at 480C for 3h.  fiber drawing: 700C, , , 2.833, , , , , , , , , , 
92, GP09-350339, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.94, , , , , , , , , , 
93, GP09-350340, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.93, , , , , , , , , , 
94, GP09-350341, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.84, , , , , , , , , , 
95, GP09-350342, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.26, , , , , , , , , , 
96, GP09-350343, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 5.13, , , , , , , , , , 
97, GP09-350344, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.91, , , , , , , , , , 
98, GP09-350345, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.62, , , , , , , , , , 
99, GP09-350346, Japanese Patent    Du Pon't de Nemours (US), 2012, A523365, , , , 4.74, , , , , , , , , , 
100, GP09-350347, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 5.0, , , , , , , , , , 
101, GP09-350348, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.93, , , , , , , , , , 
102, GP09-350349, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.84, , , , , , , , , , 
103, GP09-350350, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 6.6, , , , , , , , , , 
104, GP09-350351, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 5.03, , , , , , , , , , 
105, GP09-350352, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 5.13, , , , , , , , , , 
106, GP09-350353, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.65, , , , , , , , , , 
107, GP09-350354, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.62, , , , , , , , , , 
108, GP09-350355, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.74, , , , , , , , , , 
109, GP09-350356, Japanese Patent    Du Pon't de Nemours (US), 2012, A523366, , , , 4.93, , , , , , , , , , 
