 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
7 88.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0
10 82.0 0.0 0.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0
22 94.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
38 62.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
39 98.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
40 96.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
50 76.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0
55 66.0 0.0 0.0 0.0 0.0 0.0 34.0 0.0 0.0 0.0 0.0
56 64.0 0.0 0.0 0.0 0.0 0.0 36.0 0.0 0.0 0.0 0.0
60 94.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61 92.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63 88.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64 86.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65 84.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66 82.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68 78.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70 74.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71 72.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73 68.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74 98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75 96.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76 94.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78 90.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
79 88.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
80 86.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
81 84.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
82 82.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
84 78.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
86 74.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
87 72.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
89 68.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
90 66.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
91 64.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
92 62.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
94 58.0 0.0 0.0 0.0 0.0 0.0 0.0 42.0 0.0 0.0 0.0
95 56.0 0.0 0.0 0.0 0.0 0.0 0.0 44.0 0.0 0.0 0.0
96 54.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 0.0 0.0 0.0
