SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
77.5 18.2 0.0 4.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.8 17.7 0.0 6.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.1 17.1 0.0 8.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.7 16.0 0.0 13.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.2 15.0 0.0 17.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.7 13.9 0.0 22.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.2 12.8 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 18.6 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 20.2 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 22.6 0.0 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 6.8 0.0 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 12.6 0.0 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 15.4 0.0 0.0 0.0 0.0
66.67 0.0 0.2 0.0 16.87 0.0 16.27 0.0 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 12.5 12.5 0.0 0.0 0.0 0.0
71.4 14.3 0.0 0.0 0.0 0.0 0.0 0.0 14.3 0.0 0.0
76.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0
68.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0
56.0 14.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0
58.0 14.5 0.0 0.0 27.5 0.0 0.0 0.0 0.0 0.0 0.0
70.4 19.6 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0
69.9 10.1 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 28.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 23.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 19.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 17.5 20.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 16.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
83.9 14.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 10.5 0.0 0.0 0.0 19.5 0.0 0.0 0.0 0.0 0.0
71.4 14.3 0.0 0.0 0.0 14.3 0.0 0.0 0.0 0.0 0.0
75.0 12.5 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0
76.92 7.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.4 14.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 5.5 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 12.8 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 17.7 0.0 0.0 0.0
70.0 0.0 0.0 0.0 0.0 0.0 0.0 27.7 0.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0
65.6 0.0 0.3 0.0 0.0 16.25 0.0 17.85 0.0 0.0 0.0
66.6 0.0 0.0 0.0 0.0 0.0 0.0 16.7 0.0 0.0 0.0
65.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.55 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.42 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
83.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
91.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
92.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
94.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
95.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
96.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
98.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
92.35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
93.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
95.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
96.61 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
97.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
98.89 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.9 42.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.7 38.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.6 36.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.0 0.0 24.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 32.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.43 14.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.6 0.0 0.2 0.0 0.0 16.3 0.0 17.9 0.0 0.0 0.0
66.97 0.0 0.3 0.0 0.0 0.0 15.92 0.0 0.0 0.0 0.0
66.6 0.0 0.2 0.0 16.9 0.0 16.3 0.0 0.0 0.0 0.0
53.27 0.0 0.0 0.0 0.0 0.0 0.0 4.28 42.45 0.0 0.0
51.36 0.0 0.0 0.0 0.0 0.0 0.0 8.26 40.37 0.0 0.0
46.38 0.0 0.0 0.0 0.0 0.0 0.0 18.65 34.96 0.0 0.0
39.93 0.0 0.0 0.0 0.0 0.0 0.0 32.12 27.95 0.0 0.0
54.48 2.11 0.0 0.0 0.0 0.0 0.0 0.0 43.41 0.0 0.0
53.66 4.15 0.0 0.0 0.0 0.0 0.0 0.0 42.18 0.0 0.0
51.34 9.95 0.0 0.0 0.0 0.0 0.0 0.0 38.71 0.0 0.0
47.9 18.57 0.0 0.0 0.0 0.0 0.0 0.0 33.53 0.0 0.0
54.87 0.0 0.0 0.0 0.0 0.0 1.4 0.0 43.73 0.0 0.0
54.44 0.0 0.0 0.0 0.0 0.0 2.77 0.0 42.79 0.0 0.0
53.16 0.0 0.0 0.0 0.0 0.0 6.77 0.0 40.07 0.0 0.0
51.15 0.0 0.0 0.0 0.0 0.0 13.04 0.0 35.8 0.0 0.0
25.0 0.0 25.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0
53.86 0.0 0.0 0.0 0.0 3.21 0.0 0.0 42.92 0.0 0.0
52.48 0.0 0.0 0.0 0.0 6.26 0.0 0.0 41.26 0.0 0.0
48.73 0.0 0.0 0.0 0.0 14.53 0.0 0.0 36.74 0.0 0.0
46.52 0.0 0.0 0.0 0.0 19.41 0.0 0.0 34.06 0.0 0.0
54.36 0.0 0.0 0.0 2.32 0.0 0.0 0.0 43.32 0.0 0.0
53.43 0.0 0.0 0.0 4.57 0.0 0.0 0.0 42.0 0.0 0.0
50.81 0.0 0.0 0.0 10.88 0.0 0.0 0.0 38.3 0.0 0.0
49.21 0.0 0.0 0.0 14.76 0.0 0.0 0.0 36.03 0.0 0.0
54.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.63 0.0 1.6
54.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.6 0.0 3.19
52.59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.65 0.0 7.76
51.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37.76 0.0 10.66
54.95 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.78 0.0 0.0
54.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 42.9 0.0 0.0
53.48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.32 0.0 0.0
52.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.65 0.0 0.0
55.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.96 0.86 0.0
55.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.25 1.72 0.0
54.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0 41.14 4.28 0.0
54.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 39.75 5.95 0.0
57.43 10.86 0.0 0.0 0.0 0.0 0.0 0.0 12.06 0.0 19.65
71.13 14.29 1.09 0.0 7.1 6.05 0.0 0.0 0.0 0.0 0.0
70.83 14.6 1.91 0.0 6.89 5.35 0.0 0.0 0.0 0.0 0.0
71.22 14.19 1.1 0.0 6.89 6.19 0.0 0.0 0.0 0.0 0.0
36.4 0.0 12.7 0.0 32.7 0.0 0.0 0.0 0.0 0.0 0.0
38.1 0.0 18.1 0.0 34.3 0.0 0.0 0.0 0.0 0.0 0.0
39.0 0.0 21.0 0.0 35.1 0.0 0.0 0.0 0.0 0.0 0.0
85.49 4.47 1.2 8.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0
