 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
1950 67.0 17.5 0.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0
1951 30.0 7.0 0.0 0.0 5.75 0.0 0.0 0.0 0.0 11.5 0.0
1952 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0
1953 71.0 11.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
2495 2.58 0.0 0.0 0.0 47.16 0.0 0.0 0.0 0.0 0.0 0.0
2570 94.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2576 60.0 30.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
2579 70.0 25.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0
2580 70.0 20.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
2582 70.0 10.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0
2583 70.0 5.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
2584 80.0 15.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0
2586 80.0 5.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
2587 50.0 37.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2588 70.0 16.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2592 93.38 0.02 0.0 6.5 0.0 0.0 0.1 0.0 0.0 0.0 0.0
2706 55.0 0.0 22.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2707 50.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2710 42.0 0.0 22.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2711 43.2 0.0 25.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2712 42.0 0.0 22.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
