Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Molar Volume at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Cu2O, Rb2O, Ag2O, Cs2O, Tl2O, MnO, FeO, CoO, NiO, CuO, ZnO, SrO, CdO, PbO, SnO, Molar Volume at RT ( cm3/mol )
1, GJ35-005691, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , , , , , , 38.6
2, GJ35-005692, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 5.0, , , , , 38.0
3, GJ35-005693, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 37.0
4, GJ35-005694, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 15.0, , , , , 35.5
5, GJ35-005695, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , , , , , , 32.7
6, GJ35-005696, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 5.0, , , , , 32.0
7, GJ35-005697, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 31.2
8, GJ35-005698, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 15.0, , , , , 30.1
9, GJ35-005699, J. Non-Crystalline Solids, 1986, v. 088  p. 0253, , , , , , , , , , , , , , , , , , , , 20.0, , , , , 29.4
10, GJ10-008161, Glass Technology, 1984, v. 025  p. 0098, , 62.6, , , , 37.4, , , , , , , , , , , , , , , , , , , 26.9
11, GJ10-008162, Glass Technology, 1984, v. 025  p. 0098, , 55.3, , , , 37.18, , , , , , , , , , , , , , , , , , , 29.6
12, GJ10-008163, Glass Technology, 1984, v. 025  p. 0098, , 50.42, , , , 37.34, , , , , , , , , , , , , , , , , , , 31.5
13, GJ10-008164, Glass Technology, 1984, v. 025  p. 0098, , 45.88, , , , 37.16, , , , , , , , , , , , , , , , , , , 32.2
14, GJ10-008165, Glass Technology, 1984, v. 025  p. 0098, , 41.01, , , , 37.29, , , , , , , , , , , , , , , , , , , 35.0
15, GJ10-008166, Glass Technology, 1984, v. 025  p. 0098, , 36.51, , , , 37.07, , , , , , , , , , , , , , , , , , , 36.7
16, GJ10-008167, Glass Technology, 1984, v. 025  p. 0098, , 30.52, , , , 37.7, , , , , , , , , , , , , , , , , , , 38.5
17, GJ10-031284, J. Materials Science Letters, 1984, v. 003  p. 0341, , 65.0, , , , , , , , , , , , , , , , , , 35.0, , , , , 29.5
18, GJ10-031285, J. Materials Science Letters, 1984, v. 003  p. 0341, , 60.0, , , , , , , , , , , , , , , , , , 40.0, , , , , 24.4
19, GJ10-031286, J. Materials Science Letters, 1984, v. 003  p. 0341, , 55.0, , , , , , , , , , , , , , , , , , 45.0, , , , , 23.8
20, GJ10-031287, J. Materials Science Letters, 1984, v. 003  p. 0341, , 50.0, , , , , , , , , , , , , , , , , , 50.0, , , , , 21.4
21, GJ10-031288, J. Materials Science Letters, 1984, v. 003  p. 0341, , 45.0, , , , , , , , , , , , , , , , , , 55.0, , , , , 20.3
22, GJ20-031443, J. Materials Science Letters, 1986, v. 005  p. 0492, , , , , , , , , , , , , , , , , , , , , , , , , 60.16
23, GJ20-031444, J. Materials Science Letters, 1986, v. 005  p. 0492, , , , , , , , , , , , , , , , , , , , , , , , , 63.38
24, GJ20-031445, J. Materials Science Letters, 1986, v. 005  p. 0492, , , , , , , , , , , , , , , , , , , , , , , , , 66.83
25, GJ20-031446, J. Materials Science Letters, 1986, v. 005  p. 0492, , , , , , , , , , , , , , , , , , , , , , , , , 70.36
26, GJ35-031447, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , , , , , , 38.6
27, GJ35-031448, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 37.02
28, GJ35-031449, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , 5.0, , , , , 37.8
29, GJ35-031450, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , , , , , , 32.7
30, GJ35-031451, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , 5.0, , , , , 31.95
31, GJ35-031452, J. Materials Science Letters, 1986, v. 005  p. 0617, , , , , , , , , , , , , , , , , , , , 10.0, , , , , 31.27
32, GJ10-039013, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , 32.82
33, GJ10-039014, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 75.0, 5.0, , , , , , 20.0, , , , , , , , , , , , , , , , 34.24
34, GJ10-039015, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 70.0, 10.0, , , , , , 20.0, , , , , , , , , , , , , , , , 34.72
35, GJ10-039016, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 65.0, 15.0, , , , , , 20.0, , , , , , , , , , , , , , , , 35.2
36, GJ10-039017, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 60.0, 20.0, , , , , , 20.0, , , , , , , , , , , , , , , , 34.97
37, GJ10-039018, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , 32.44
38, GJ10-039019, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 70.0, 5.0, , , , , , 25.0, , , , , , , , , , , , , , , , 33.39
39, GJ10-039020, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 65.0, 10.0, , , , , , 25.0, , , , , , , , , , , , , , , , 34.43
40, GJ10-039021, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 60.0, 15.0, , , , , , 25.0, , , , , , , , , , , , , , , , 35.12
41, GJ10-039022, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 55.0, 20.0, , , , , , 25.0, , , , , , , , , , , , , , , , 35.29
42, GJ10-039023, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 50.0, 25.0, , , , , , 25.0, , , , , , , , , , , , , , , , 35.41
43, GJ10-039024, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 70.0, , , , , , , 30.0, , , , , , , , , , , , , , , , 33.85
44, GJ10-039025, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 65.0, 5.0, , , , , , 30.0, , , , , , , , , , , , , , , , 34.79
45, GJ10-039026, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 60.0, 10.0, , , , , , 30.0, , , , , , , , , , , , , , , , 35.9
46, GJ10-039027, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 55.0, 15.0, , , , , , 30.0, , , , , , , , , , , , , , , , 36.36
47, GJ10-039028, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 50.0, 20.0, , , , , , 30.0, , , , , , , , , , , , , , , , 36.33
48, GJ10-039029, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 45.0, 25.0, , , , , , 30.0, , , , , , , , , , , , , , , , 36.76
49, GJ02-040506, J. Non-Crystalline Solids, 1976, v. 021  p. 0343, 66.7, , , , , , , , 33.3, , , , , , , , , , , , , , , , 28.9
50, GJ02-040509, J. Non-Crystalline Solids, 1976, v. 021  p. 0343, 66.7, , , , , , 11.7, , 21.6, , , , , , , , , , , , , , , , 26.3
51, GJ02-040511, J. Non-Crystalline Solids, 1976, v. 021  p. 0343, 66.7, , , , , , 16.65, , 16.65, , , , , , , , , , , , , , , , 25.1
52, GJ02-040513, J. Non-Crystalline Solids, 1976, v. 021  p. 0343, 66.7, , , , , , 25.0, , 8.3, , , , , , , , , , , , , , , , 23.2
53, GJ02-040515, J. Non-Crystalline Solids, 1976, v. 021  p. 0343, 66.7, , , , , , 33.3, , , , , , , , , , , , , , , , , , 21.2
54, GJ03-041060, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , , , 40.0, , , , , , , , , , , , , , , , , , , , 21.14
55, GJ03-041061, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 5.0, , 35.0, , , , , , , , , , , , , , , , , , , , 22.34
56, GJ03-041062, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 10.0, , 30.0, , , , , , , , , , , , , , , , , , , , 23.59
57, GJ06-041063, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 13.0, , 27.0, , , , , , , , , , , , , , , , , , , , 24.27
58, GJ06-041064, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 15.0, , 25.0, , , , , , , , , , , , , , , , , , , , 24.81
59, GJ06-041065, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 18.0, , 22.0, , , , , , , , , , , , , , , , , , , , 25.5
60, GJ06-041066, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 20.0, , 20.0, , , , , , , , , , , , , , , , , , , , 25.97
61, GJ06-041067, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 22.0, , 18.0, , , , , , , , , , , , , , , , , , , , 26.29
62, GJ06-041068, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 25.0, , 15.0, , , , , , , , , , , , , , , , , , , , 26.84
63, GJ06-041069, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , 30.0, , 10.0, , , , , , , , , , , , , , , , , , , , 27.69
64, GJ06-041070, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.4, , 3.24, , 46.37, , , , , , , , , , , , , , , , , , , , 20.64
65, GJ06-041071, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 4.32, , 45.68, , , , , , , , , , , , , , , , , , , , 20.9
66, GJ06-041072, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 5.44, , 44.56, , , , , , , , , , , , , , , , , , , , 21.15
67, GJ06-041073, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 6.59, , 43.41, , , , , , , , , , , , , , , , , , , , 21.44
68, GJ06-041074, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 7.75, , 42.25, , , , , , , , , , , , , , , , , , , , 21.72
69, GJ06-041075, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 10.14, , 39.86, , , , , , , , , , , , , , , , , , , , 22.28
70, GJ06-041076, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 14.0, , 36.0, , , , , , , , , , , , , , , , , , , , 23.22
71, GJ06-041077, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 16.0, , 34.0, , , , , , , , , , , , , , , , , , , , 23.69
72, GJ06-041078, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 17.89, , 32.11, , , , , , , , , , , , , , , , , , , , 24.14
73, GJ06-041079, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 49.02, , 20.24, , 30.75, , , , , , , , , , , , , , , , , , , , 24.82
74, GJ06-041080, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 25.0, , 25.0, , , , , , , , , , , , , , , , , , , , 25.78
75, GJ06-041081, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 49.5, , 27.13, , 23.37, , , , , , , , , , , , , , , , , , , , 26.2
76, GJ06-041082, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 30.0, , 20.0, , , , , , , , , , , , , , , , , , , , 26.55
77, GJ06-041083, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.51, , 33.33, , 16.16, , , , , , , , , , , , , , , , , , , , 27.2
78, GJ06-041084, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, , 36.0, , 14.0, , , , , , , , , , , , , , , , , , , , 27.66
79, GJ02-041102, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 85.0, , , , , , , 15.0, , , , , , , , , , , , , , , , , 25.9
80, GJ02-041103, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , 25.3
81, GJ02-041104, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , 25.0
82, GJ02-041105, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 70.0, , , , , , , 30.0, , , , , , , , , , , , , , , , , 24.6
83, GJ02-041106, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 67.0, , , , , , , 33.0, , , , , , , , , , , , , , , , , 24.6
84, GJ02-041107, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 65.0, , , , , , , 35.0, , , , , , , , , , , , , , , , , 24.4
85, GJ02-041108, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 67.0, , , , , , 33.0, , , , , , , , , , , , , , , , , , 21.3
86, GJ02-041109, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , , , 20.0, 5.0, , , , , , , , , , , , , , , , , 23.1
87, GJ02-041110, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , , , 15.0, 10.0, , , , , , , , , , , , , , , , , 23.5
88, GJ02-041111, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , , , 10.0, 15.0, , , , , , , , , , , , , , , , , 23.9
89, GJ02-041112, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , , , 5.0, 20.0, , , , , , , , , , , , , , , , , 24.4
90, GJ01-041113, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 100.0, , , , , , , , , , , , , , , , , , , , , , , , 27.3
91, GJ02-041114, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 84.0, , , , , , 16.0, , , , , , , , , , , , , , , , , , 24.3
92, GJ02-041115, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 74.0, , , , , , 26.0, , , , , , , , , , , , , , , , , , 22.6
93, GJ02-041116, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 68.0, , , , , , 32.0, , , , , , , , , , , , , , , , , , 21.5
94, GJ02-041117, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 60.0, , , , , , 40.0, , , , , , , , , , , , , , , , , , 20.2
95, GJ06-045375, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.73, , 14.15, , , , 3.14, 2.98, , , , , , , , , , , , , , , , , 35.5
96, GJ06-045376, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.88, , 12.1, , , , 4.07, 3.95, , , , , , , , , , , , , , , , , 34.7
97, GJ06-045377, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.8, , 10.16, , , , 5.04, 5.0, , , , , , , , , , , , , , , , , 34.0
98, GJ06-045378, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.81, , 8.12, , , , 6.21, 5.86, , , , , , , , , , , , , , , , , 33.0
99, GJ06-045379, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.81, , 6.21, , , , 7.05, 6.93, , , , , , , , , , , , , , , , , 32.6
100, GJ06-045380, J. American Ceramic Soc., 1987, v. 070  p. 0242, 79.71, , 4.23, , , , 8.09, 7.97, , , , , , , , , , , , , , , , , 31.0
101, GJ06-045381, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.49, , 23.54, , , , 9.97, , , , , , , , , , , , , , , , , , 41.4
102, GJ06-045385, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.46, , 8.43, , , , 25.11, , , , , , , , , , , , , , , , , , 35.6
103, GJ06-045386, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.37, , 10.16, , , , 23.47, , , , , , , , , , , , , , , , , , 36.3
104, GJ06-045387, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.55, , 11.9, , , , 21.55, , , , , , , , , , , , , , , , , , 37.0
105, GJ06-045388, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.58, , 20.04, , , , 13.38, , , , , , , , , , , , , , , , , , 40.4
106, GJ06-045389, J. American Ceramic Soc., 1987, v. 070  p. 0242, 66.53, , 16.87, , , , 16.6, , , , , , , , , , , , , , , , , , 39.2
107, GJ02-055402, Glass Science and Technology, 1980, v. 053  p. 0149, 66.9, , , , , , , 33.1, , , , , , , , , , , , , , , , , 14.6
108, GJ02-055403, Glass Science and Technology, 1980, v. 053  p. 0149, 66.68, , 2.2, , , , , 31.12, , , , , , , , , , , , , , , , , 14.5
109, GJ02-055404, Glass Science and Technology, 1980, v. 053  p. 0149, 67.78, , 4.27, , , , , 27.95, , , , , , , , , , , , , , , , , 14.28
110, GJ02-055405, Glass Science and Technology, 1980, v. 053  p. 0149, 67.21, , 7.52, , , , , 25.27, , , , , , , , , , , , , , , , , 14.15
111, GJ06-055406, Glass Science and Technology, 1980, v. 053  p. 0149, 66.8, , 9.96, , , , , 23.24, , , , , , , , , , , , , , , , , 14.09
112, GJ06-055407, Glass Science and Technology, 1980, v. 053  p. 0149, 67.29, , 12.14, , , , , 20.57, , , , , , , , , , , , , , , , , 13.95
113, GJ06-055408, Glass Science and Technology, 1980, v. 053  p. 0149, 67.06, , 15.11, , , , , 17.83, , , , , , , , , , , , , , , , , 13.85
114, GJ06-055409, Glass Science and Technology, 1980, v. 053  p. 0149, 66.91, , 15.92, , , , , 17.17, , , , , , , , , , , , , , , , , 13.84
115, GJ06-055410, Glass Science and Technology, 1980, v. 053  p. 0149, 66.98, , 16.59, , , , , 16.43, , , , , , , , , , , , , , , , , 13.82
116, GJ06-055411, Glass Science and Technology, 1980, v. 053  p. 0149, 66.97, , 16.72, , , , , 16.31, , , , , , , , , , , , , , , , , 13.82
117, GJ06-055412, Glass Science and Technology, 1980, v. 053  p. 0149, 67.24, , 17.01, , , , , 15.74, , , , , , , , , , , , , , , , , 13.81
118, GJ06-055413, Glass Science and Technology, 1980, v. 053  p. 0149, 66.93, , 17.5, , , , , 15.57, , , , , , , , , , , , , , , , , 13.82
119, GJ06-055414, Glass Science and Technology, 1980, v. 053  p. 0149, 66.91, , 17.9, , , , , 15.19, , , , , , , , , , , , , , , , , 13.81
120, GJ06-055415, Glass Science and Technology, 1980, v. 053  p. 0149, 67.01, , 18.35, , , , , 14.64, , , , , , , , , , , , , , , , , 13.77
121, GJ06-055416, Glass Science and Technology, 1980, v. 053  p. 0149, 67.05, , 19.04, , , , , 13.91, , , , , , , , , , , , , , , , , 13.71
122, GJ06-055417, Glass Science and Technology, 1980, v. 053  p. 0149, 66.98, , 20.16, , , , , 12.86, , , , , , , , , , , , , , , , , 13.63
123, GJ27-062633, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 62.0, , 28.62
124, GJ27-062635, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 67.0, , 28.42
125, GJ27-062636, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 70.0, , 28.32
126, GJ27-062637, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 72.0, , 28.11
127, GJ27-062638, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 75.0, , 27.97
128, GJ27-062639, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 78.0, , 27.6
129, GJ27-062640, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 80.0, , 27.1
130, GJ27-062641, J. American Ceramic Soc., 1988, v. 071  p. C254, , , , , , , , , , , , , , , , , , , , , , , 82.0, , 26.8
131, GJ40-068628, J. Non-Crystalline Solids, 1978, v. 027  p. 0225, , , , , , , , , *, , , , , , , , , , , *, , , , , 62.0
132, GJ40-068629, J. Non-Crystalline Solids, 1978, v. 027  p. 0225, , , , , , , , , *, , , , , , , , , , , *, , , , , 61.0
133, GJ40-068630, J. Non-Crystalline Solids, 1978, v. 027  p. 0225, , , , , , , , , *, , , , , , , , , , , *, , , , , 59.5
134, GJ40-068631, J. Non-Crystalline Solids, 1978, v. 027  p. 0225, , , , , , , , , *, , , , , , , , , , , *, , , , , 58.0
