Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Vickers Hardness 100g,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Ag2O, Tl2O, BeO, MnO, CuO, ZnO, SrO, CdO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, Bi2O3, Sc2O3, TiO2, GeO2, ZrO2, CeO2, SnO2, SeO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, GeS2, OH, Sm2O3, Eu2O3, Tb2O3, Dy2O3, Er2O3, Yb2O3, Lu2O3, Pr2O3, R2O, RO, MgF2, CaF2, SrF2, AlF3, NdF3, KCl, SrCl2, ZnCl2, CdCl2, PbCl2, KBr, KI, CsI, Li, B, N, O, Mg, Al, Si, P, S, Cl, Ca, Ti, Fe, Co, Ni, Cu, Zn, Ga, Ge, Sr, Y, Zr, Ag, Sb, Te, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, W, Re, Sr(PO3)2, Ga2S3, Sb2S3, Ga2Se3, GeSe2, In2S3, AlN, ZrO2-SiO2, Vickers Hardness 100g ( MPa )
1, GB02-003332, Handbook of Glass Properties, 1986, v. 001  p. 0354, 77.5, 4.3, , , , , , 18.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4684.0
2, GB02-003333, Handbook of Glass Properties, 1986, v. 001  p. 0354, 72.0, 10.0, , , , , , 18.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5664.0
3, GB02-003334, Handbook of Glass Properties, 1986, v. 001  p. 0354, 75.8, 6.5, , , , , , 17.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5027.0
4, GB02-003335, Handbook of Glass Properties, 1986, v. 001  p. 0354, 74.1, 8.8, , , , , , 17.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5429.0
5, GB02-003336, Handbook of Glass Properties, 1986, v. 001  p. 0354, 70.7, 13.3, , , , , , 16.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5762.0
6, GB02-003337, Handbook of Glass Properties, 1986, v. 001  p. 0354, 67.2, 17.8, , , , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5792.0
7, GB02-003338, Handbook of Glass Properties, 1986, v. 001  p. 0354, 63.7, 22.4, , , , , , 13.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5664.0
8, GB02-003339, Handbook of Glass Properties, 1986, v. 001  p. 0354, 60.2, 27.0, , , , , , 12.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5233.0
9, GB02-003340, Handbook of Glass Properties, 1986, v. 001  p. 0354, 60.2, 27.0, , , , , , 12.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5233.0
10, GB02-003409, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 11.0, , , , , , , 19.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5223.0
11, GB02-003410, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 15.0, , , , , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5586.0
12, GB02-003411, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 18.6, , , , , , , 11.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4479.0
13, GB02-003412, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 20.2, , , , , , , 9.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4479.0
14, GB02-003413, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 22.6, , , , , , , 7.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3489.0
15, GB02-003414, Handbook of Glass Properties, 1986, v. 001  p. 0351, 70.0, , , , , , , , 25.0, , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2999.0
16, GB02-003415, Handbook of Glass Properties, 1986, v. 001  p. 0351, 80.0, , , , , , , , 6.8, , , , , , , 13.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5449.0
17, GB02-003416, Handbook of Glass Properties, 1986, v. 001  p. 0351, 80.0, , , , , , , , 12.6, , , , , , , 7.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5125.0
18, GB02-003417, Handbook of Glass Properties, 1986, v. 001  p. 0351, 80.0, , , , , , , , 15.4, , , , , , , 4.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4988.0
19, GB02-003418, Handbook of Glass Properties, 1986, v. 001  p. 0351, 65.77, , 0.2, , , , , , 17.56, , , , , , , , 16.47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4508.0
20, GB02-003419, Handbook of Glass Properties, 1986, v. 001  p. 0351, 65.57, , 0.2, , , , , , 16.97, , , , , , 17.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5380.0
21, GB02-003420, Handbook of Glass Properties, 1986, v. 001  p. 0351, 68.32, , 0.7, , , 15.0, , , 15.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4547.0
22, GB02-003421, Handbook of Glass Properties, 1986, v. 001  p. 0351, 75.0, , , , , 12.5, , , 12.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4812.0
23, GB02-003422, Handbook of Glass Properties, 1986, v. 001  p. 0351, 66.67, , 0.2, , 16.87, , , , 16.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4822.0
24, GB02-003423, Handbook of Glass Properties, 1986, v. 001  p. 0351, 75.0, , , , 12.5, , , , 12.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5988.0
