Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
1, GJ20-039845, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 2.435, 52.57, 3273.0
2, GJ20-039846, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 2.664, 55.33, 3489.0
3, GJ20-039847, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 3.173, 50.17, 3009.0
4, GJ20-039848, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 3.651, 43.23, 2705.0
5, GJ20-039849, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 2.895, 42.16, 2323.0
6, GJ20-039850, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 2.432, 49.51, 2323.0
7, GJ20-039851, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, 2.51, 35.9, 1735.0
8, GJ03-046439, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.931, 135.4, 8820.0
9, GJ03-046440, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.829, 129.9, 8575.0
10, GJ03-046441, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.873, 118.6, 6860.0
11, GJ03-046442, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.835, 115.2, 6272.0
12, GJ03-046443, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.805, 111.4, 6076.0
13, GJ03-046444, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.783, 102.2, 5488.0
14, GJ03-046445, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 2.786, 105.7, 5488.0
15, XB01-089877, Glass Hand Book (J), 1975, v. 001  p. 0204, 2.5, 78.4, 7448.0
16, XB02-089878, Glass Hand Book (J), 1975, v. 001  p. 0204, 2.5, 78.4, 7987.0
17, GB05-089879, Glass Hand Book (J), 1975, v. 001  p. 0204, 2.2, 65.66, 5586.0
18, GB02-089880, Glass Hand Book (J), 1975, v. 001  p. 0204, 2.5, 68.6, 5292.0
19, CP02-101910, Japanese Patent, 1989, A201043, 2.57, 98.0, 6566.0
20, MP06-102176, Japanese Patent, 1989, A239036, 2.57, 98.0, 6566.0
21, GI10-152478R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.425, 120.8, 6575.8
22, GI06-190608R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 2.64, 77.66, 5507.6
23, GI06-190613R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 2.6, 77.98, 5752.6
24, GI02-190618R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 2.54, 73.02, 5370.4
25, GI06-190631R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 2.56, 84.27, 5899.6
26, GI02-190644R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 2.34, 74.88, 5047.0
27, GI02-190648R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 2.6, 71.49, 5233.2
28, GI03-190654R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 2.57, 85.04, 5889.8
29, GI05-190659R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 2.25, 62.12, 5233.2
30, GI05-190663R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 2.35, 66.63, 5066.6
31, GI05-190680R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.56, 77.33, 5380.2
32, GI03-190703R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.82, 83.07, 5350.8
33, GI03-190713R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.72, 77.07, 4978.4
34, GI03-190714R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.69, 74.11, 4625.6
35, GI03-190715R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.69, 75.53, 4557.0
36, GI03-190716R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 2.67, 74.46, 4949.0
37, GI06-190747R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 2.56, 82.0, 5517.4
38, GI06-191642R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.39, 82.4, 5733.0
39, GI06-191644, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.39, 82.7, 5527.2
40, GI06-191645R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.46, 88.6, 6977.6
41, GI06-191649R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.49, 69.1, 5664.4
42, GI06-191650R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.48, 77.4, 6399.4
43, GI06-191654R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.47, 59.9, 5674.2
44, GI06-191656R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.51, 82.7, 6458.2
45, GI06-191657R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.57, 80.6, 6615.0
46, GI06-191658R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 3.0, 75.6, 6301.4
47, GI06-191659R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.72, 79.7, 5929.0
48, GI06-191660R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.79, 78.9, 6634.6
49, GI06-191661R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.55, 86.3, 5831.0
50, GI06-191662R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.63, 83.9, 7007.0
51, GI06-191663R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 3.2, 76.7, 6350.4
52, GI06-191664R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.85, 82.4, 5987.8
53, GI06-191665R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.93, 81.2, 6370.0
54, GI06-191666R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.5, 80.6, 6448.4
55, GI06-191667R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.55, 79.4, 6634.6
56, GI06-191668R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.98, 74.5, 6556.2
57, GI06-191669R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.7, 79.1, 5762.4
58, GI06-191670, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.78, 77.9, 7026.6
59, GI06-191671R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.54, 84.3, 6742.4
60, GI06-191672R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.61, 81.9, 7046.2
61, GI06-191673R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 3.17, 75.3, 6517.0
62, GI06-191674R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.82, 80.9, 6085.8
63, GI06-191675R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.9, 79.0, 6419.0
64, GI06-191676, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.46, 82.8, 5252.8
65, GI06-191678, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.41, 83.1, 5213.6
66, GI06-191679, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.52, 83.1, 5007.8
67, GI06-191680, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.48, 83.1, 5125.4
68, GI06-191682, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.35, 73.3, 4615.8
