Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, TiO2, ZrO2, CeO2, SnO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, SO3, WO3, GeS2, OH, Tb2O3, MgF2, CaF2, SrF2, AlF3, SrCl2, CdCl2, PbCl2, N, O, F, Al, Si, Cl, Co, Y, Sb, La, Pr, Nd, Tb, Dy, Ho, Er, Sr(PO3)2, Sb2S3, AlN, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
1, GJ20-039845, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , 50.15, , , , , , , , , , , , , , , , , , , , , , 49.85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.435, 52.57, 3273.0
2, GJ20-039846, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , 50.16, , , , , , , , , , , , , , , , , , , , , 49.84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.664, 55.33, 3489.0
3, GJ20-039847, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , , , , , , , 50.0, , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.173, 50.17, 3009.0
4, GJ20-039848, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , , 50.0, , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.651, 43.23, 2705.0
5, GJ20-039849, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , , , , , , 50.0, , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.895, 42.16, 2323.0
6, GJ20-039850, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , , , 50.0, , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.432, 49.51, 2323.0
7, GJ20-039851, J. Ceramic Soc. Japan, 1983, v. 091  p. 0086, , , , , , , , 50.0, , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.51, 35.9, 1735.0
8, GJ03-046439, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 33.4, , 3.3, , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 33.3, 2.931, 135.4, 8820.0
9, GJ03-046440, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 34.8, , 7.8, , 31.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 26.1, 2.829, 129.9, 8575.0
10, GJ03-046441, J. Non-Crystalline Solids, 1983, v. 056  p. 0147, 36.4, , 12.7, , 32.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 18.2, 2.873, 118.6, 6860.0
