SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )" "Vickers Hardness 100g ( MPa )"
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 78.4 2.5 7448.0
70.82 8.58 1.91 0.0 5.54 4.94 2.22 0.0 0 0.43 0.83 0 2.2 98.0 2.57 6566.0
40.07 15.07 0.0 14.86 14.93 14.83 0.0 0.0 0 0.0 0.0 0 0.0 77.66 2.64 5507.6
50.12 10.05 0.0 14.94 14.74 9.95 0.0 0.0 0 0.0 0.0 0 0.0 77.98 2.6 5752.6
60.07 9.83 0.0 10.03 9.89 10.0 0.0 0.0 0 0.0 0.0 0 0.0 73.02 2.54 5370.4
75.02 0.0 0.0 0.0 3.01 1.99 19.98 0.0 0 0.0 0.0 0 0.0 74.88 2.34 5047.0
62.54 14.98 0.0 11.64 4.36 4.96 0.0 0.0 0 0.0 0.0 0 0.0 71.49 2.6 5233.2
78.73 3.87 14.46 0.0 0.0 0.87 0.0 0.0 0 0.0 2.07 0 0.0 62.12 2.25 5233.2
75.72 6.62 10.52 1.02 5.12 0.0 0.0 0.0 0 1.0 0.0 0 0.0 66.63 2.35 5066.6
50.5 10.34 19.15 9.83 0.0 10.18 0.0 0.0 0 0.0 0.0 0 0.0 77.33 2.56 5380.2
63.2 10.72 0.0 0.0 9.86 0.0 9.91 5.17 0 0.0 0.0 0 0.0 82.0 2.56 5517.4
66.02 0.0 0.0 0.0 9.87 0.0 24.11 0.0 0 0.0 0.0 0 0.0 82.4 2.39 5733.0
63.94 0.0 0.0 0.0 7.46 0.0 28.6 0.0 0 0.0 0.0 0 0.0 82.7 2.39 5527.2
60.61 0.1 0.0 0.0 25.01 0.0 14.18 0.0 0 0.0 0.0 0 0.0 88.6 2.46 6977.6
65.94 0.0 0.0 0.01 15.68 18.3 0.0 0.0 0 0.0 0.0 0 0.0 69.1 2.49 5664.4
59.29 15.95 0.0 0.01 24.64 0.0 0.0 0.0 0 0.0 0.0 0 0.008706 77.4 2.48 6399.4
60.05 0.0 0.0 0.0 14.68 25.27 0.0 0.0 0 0.0 0.0 0 0.0 59.9 2.47 5674.2
60.0 10.0 0.0 0.0 15.0 0.0 0.0 15.0 0 0.0 0.0 0 0.0 82.7 2.51 6458.2
59.7 9.99 0.0 14.97 15.34 0.0 0.0 0.0 0 0.0 0.0 0 0.0 80.6 2.57 6615.0
60.12 9.99 0.0 0.0 14.77 0.0 0.0 0.0 0 14.96 0.0 0 0.0 75.6 3.0 6301.4
60.29 10.12 0.0 0.0 14.32 0.0 0.0 0.0 0 0.0 0.0 0 15.27 79.7 2.72 5929.0
55.71 9.88 0.0 0.0 14.5 0.0 0.0 19.82 0 0.0 0.0 0 0.0 86.3 2.55 5831.0
55.06 9.92 0.0 20.58 14.15 0.0 0.0 0.16 0 0.0 0.0 0 0.0 83.9 2.63 7007.0
55.45 9.95 0.0 0.01 14.68 0.0 0.0 0.0 0 0.0 0.0 0 19.84 82.4 2.85 5987.8
60.59 4.95 0.0 0.0 14.8 4.93 0.0 14.63 0 0.0 0.0 0 0.0 80.6 2.5 6448.4
59.68 5.09 0.0 15.3 14.72 4.99 0.0 0.12 0 0.0 0.0 0 0.008285 79.4 2.55 6634.6
59.76 4.97 0.0 0.0 15.33 4.85 0.0 0.0 0 14.97 0.0 0 0.0 74.5 2.98 6556.2
59.23 5.12 0.0 0.01 14.95 5.0 0.0 0.0 0 0.0 0.0 0 15.69 79.1 2.7 5762.4
55.51 5.18 0.0 0.0 14.73 5.02 0.0 19.56 0 0.0 0.0 0 0.0 84.3 2.54 6742.4
55.15 5.1 0.0 20.36 14.38 5.01 0.0 0.0 0 0.0 0.0 0 0.0 81.9 2.61 7046.2
54.15 5.31 0.0 0.0 15.15 5.35 0.0 0.0 0 0.0 0.0 0 19.97 80.9 2.82 6085.8
65.51 0.07 0.0 0.0 15.29 0.0 16.3 0.0 0 0.0 0.0 0 0.0 82.8 2.46 5252.8
65.74 0.06 0.0 0.0 15.28 0.0 14.73 4.19 0 0.0 0.0 0 0.0 83.1 2.41 5213.6
65.13 0.06 0.0 0.0 15.19 0.0 14.86 0.0 0 0.0 0.0 0 4.76 83.1 2.48 5125.4
64.59 0.1 0.0 0.0 15.01 0.0 15.1 0.0 0 5.2 0.0 0 0.0 82.9 2.59 5007.8
65.32 7.49 0.0 0.0 15.24 0.0 7.3 0.0 0 0.0 4.65 0 0.0 78.8 2.45 5047.0
65.99 7.77 0.0 0.0 15.18 0.0 7.22 3.84 0 0.0 0.0 0 0.0 81.9 2.43 5194.0
65.84 7.57 0.0 0.0 14.52 0.0 7.2 0.0 0 0.0 0.0 0 4.87 81.4 2.48 5154.8
65.28 7.61 0.0 4.96 14.96 0.0 7.19 0.0 0 0.0 0.0 0 0.0 81.9 2.47 5174.4
65.0 7.54 0.0 0.0 15.12 0.0 7.24 0.0 0 5.1 0.0 0 0.0 80.0 2.62 5145.0
64.14 5.81 0.0 10.24 4.97 4.79 0.0 0.0 0 9.82 0.0 0 0.0 75.0 2.91 5135.2
64.08 5.73 0.0 14.87 5.08 4.77 0.0 0.22 0 5.2 0.0 0 0.0 76.8 2.76 6291.6
64.22 5.62 0.0 20.1 4.96 4.88 0.0 0.22 0 0.0 0.0 0 0.0 77.7 2.93 6164.2
64.86 5.79 0.0 10.08 4.88 5.01 0.0 9.38 0 0.0 0.0 0 0.0 76.7 2.55 6291.6
63.44 6.17 0.0 5.38 5.02 4.94 0.0 15.05 0 0.0 0.0 0 0.0 76.6 2.51 6056.4
67.14 5.62 0.0 0.0 4.9 4.69 0.0 17.65 0 0.0 0.0 0 0.0 75.4 2.48 6144.6
53.8 5.0 10.45 0.0 10.11 5.04 0.0 15.5 0 0.008375 0.0 0 0.0 70.1 2.44 6232.8
51.98 5.08 10.96 15.88 10.8 5.08 0.0 0.12 0 0.0 0.0 0 0.0 74.3 2.52 6330.8
55.19 5.05 9.84 0.0 9.77 5.01 0.0 0.0 0 14.98 0.0 0 0.0 75.2 2.99 6076.0
53.92 5.1 10.12 0.0 10.69 5.01 0.0 0.0 0 0.0 0.0 0 15.05 66.4 2.62 5213.6
54.25 5.11 9.54 0.0 7.74 5.1 0.0 15.49 0 0.0 2.65 0 0.02 72.2 2.46 6066.2
54.81 5.02 10.14 0.0 7.55 5.05 0.0 0.0 0 0.0 2.59 0 14.79 68.2 2.66 5468.4
54.62 5.04 9.65 0.0 7.79 5.06 0.0 15.44 0 0.0 0.0 0 0.0 73.4 2.5 5537.0
55.22 4.94 8.93 15.37 8.22 4.83 0.0 0.0 0 0.0 0.0 0 0.0 77.3 2.58 6409.2
55.48 4.82 9.87 0.01 7.69 4.81 0.0 0.0 0 0.0 0.0 0 14.81 69.1 2.7 5497.8
58.71 4.93 0.0 24.6 6.98 0.0 0.0 2.5 0 0.0 2.15 0 0.0 84.9 2.71 5272.4
58.57 2.62 0.0 24.07 7.02 2.54 0.0 2.72 0 0.0 2.33 0 0.0 81.4 2.67 5321.4
62.25 0.05 0.0 25.41 7.93 0.0 0.0 4.17 0 0.0 0.0 0 0.0 84.4 2.66 5311.6
65.15 0.0 0.0 20.1 6.57 0.0 0.0 8.18 0 0.0 0.0 0 0.0 86.6 2.64 5478.2
65.3 0.0 0.0 14.47 7.39 0.0 0.0 12.84 0 0.0 0.0 0 0.0 91.9 2.61 5439.0
64.53 0.0 0.0 10.14 7.65 0.0 0.0 17.68 0 0.0 0.0 0 0.0 89.7 2.59 5517.4
63.56 0.09 0.0 5.11 8.39 0.0 0.0 22.73 0 0.0 0.0 0 0.0 91.7 2.54 5693.8
62.54 0.11 0.0 15.2 7.04 10.54 0.0 4.4 0 0.0 0.0 0 0.0 71.3 2.54 4998.0
63.86 5.19 0.0 14.26 7.17 5.02 0.0 4.5 0 0.0 0.0 0 0.0 75.9 2.57 5154.8
62.16 10.1 0.0 0.0 17.82 9.78 0.0 0.0 0 0.0 0.0 0 0.0 70.5 2.46 5096.0
57.36 11.47 0.0 0.0 11.87 11.08 0.0 0.0 0 8.22 0.0 0 0.0 78.5 2.64 5194.0
50.0 10.19 0.0 0.0 10.2 10.07 0.0 0.0 0 0.0 0.0 0 19.54 74.6 2.85 5125.4
49.9 15.14 0.0 9.91 10.04 15.01 0.0 0.0 0 0.0 0.0 0 0.0 73.0 2.59 5194.0
49.34 15.05 0.0 0.0 10.15 14.85 0.0 0.0 0 10.61 0.0 0 0.0 68.7 2.89 4919.6
49.82 15.23 0.0 0.0 10.09 15.02 0.0 0.0 0 0.0 0.0 0 9.84 69.7 2.7 5037.2
50.02 15.12 0.0 4.83 15.17 14.86 0.0 0.0 0 0.0 0.0 0 0.0 72.5 2.56 5135.2
49.72 15.21 0.0 0.0 15.41 14.24 0.0 0.0 0 5.42 0.0 0 0.0 70.7 2.69 4958.8
50.24 15.15 0.0 0.0 15.32 14.88 0.0 0.0 0 0.0 0.0 0 4.41 71.9 2.6 4998.0
60.26 10.04 0.0 0.0 15.08 9.95 0.0 0.0 0 0.0 0.0 0 4.67 70.5 2.56 4949.0
69.99 10.23 0.0 0.0 9.98 9.8 0.0 0.0 0 0.0 0.0 0 0.0 66.3 2.44 4449.2
78.92 3.83 14.38 0.0 0.0 0.0 0.0 0.0 0 0.0 0.97 0 0.0 59.6 2.26 4635.4
74.27 7.15 13.77 1.16 3.18 0.03 0.0 0.0 0 0.44 0.0 0 0.0 66.1 2.33 4674.6
78.49 6.67 9.2 2.24 1.86 0.0 0.0 0.0 0 0.0 1.54 0 0.0 72.1 2.36 4949.0
79.19 5.14 9.78 1.14 3.1 1.27 0.0 0.0 0 0.38 0.0 0 0.0 69.2 2.34 4988.2
60.15 9.64 14.29 5.83 0.0 5.12 0.0 4.97 0 0.0 0.0 0 0.0 79.1 2.53 5194.0
57.24 10.12 15.72 0.0 0.0 6.2 0.0 4.92 0 5.8 0.0 0 0.0 74.7 2.69 4831.4
69.37 0.07 8.02 0.0 12.76 0.0 0.0 0.0 0 5.03 0.0 0 2.61 72.6 2.59 4733.4
68.53 0.0 5.17 6.58 6.69 3.46 0.0 6.63 0 0.0 0.0 0 2.94 72.7 2.48 5017.6
70.82 9.83 0.0 15.06 3.06 0.0 0.0 0.0 0 0.0 0.0 0 0.0 77.8 2.56 5047.0
73.0 8.62 1.31 15.45 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 79.8 2.56 5409.6
73.21 10.06 0.0 0.0 3.08 0.0 0.0 11.45 0 0.0 0.0 0 0.0 73.8 2.466 4615.8
72.1 15.05 0.0 12.44 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 72.7 2.52 4517.8
73.16 0.0 0.0 11.77 0.0 0.0 14.91 0.0 0 0.0 0.0 0 0.0 82.6 2.44 5135.2
68.14 7.69 0.0 1.03 0.0 5.66 0.0 0.0 0 5.29 5.54 0 6.46 71.1 2.879 5037.2
71.61 7.83 0.0 1.01 0.0 5.69 0.0 0.0 0 5.48 0.0 0 6.68 70.5 2.9 4831.4
75.95 8.04 0.0 1.18 0.0 4.01 0.0 0.0 0 2.28 2.51 0 5.66 69.9 2.68 4586.4
72.94 8.46 0.0 1.21 0.0 4.21 0.0 0.0 0 2.49 4.12 0 5.75 71.6 2.704 4655.0
72.73 8.05 0.0 4.49 0.0 3.9 0.0 0.03 0 1.06 2.35 0 7.05 71.5 2.62 4655.0
76.53 8.38 0.0 0.0 0.0 4.19 0.0 0.0 0 2.98 2.19 0 5.34 68.4 2.65 4596.2
75.71 4.35 0.0 1.21 0.0 7.29 0.0 0.0 0 2.48 2.84 0 5.75 67.9 2.63 4449.2
74.32 11.37 0.0 1.19 0.0 2.04 0.0 0.0 0 2.42 2.61 0 5.68 69.7 2.68 4488.4
75.87 8.48 0.0 3.54 0.0 4.17 0.0 0.03 0 3.37 1.69 0 2.35 70.3 2.64 4694.2
79.46 4.1 0.0 1.19 0.0 6.91 0.0 0.0 0 2.32 0.82 0 5.04 66.6 2.55 4449.2
59.89 18.56 0.0 21.43 0.0 0.0 0.0 0.12 0 0.0 0.0 0 0.0 80.4 2.666 5115.6
50.13 20.23 0.0 24.2 0.0 0.0 0.0 0.14 0 0.0 2.71 0 0.0 78.7 2.74 5017.6
47.71 20.75 0.0 22.81 0.0 0.0 0.0 0.17 0 0.0 5.48 0 0.28 79.6 2.747 4968.6
45.9 19.83 0.0 22.73 0.0 0.0 0.0 0.19 0 0.0 8.52 0 0.0 80.5 2.776 5076.4
66.08 2.79 0.0 0.77 6.54 1.77 5.79 10.27 0 0.0 3.25 0 2.28 86.5 2.52 5899.6
65.17 2.84 0.0 0.56 9.12 1.8 5.89 9.67 0 0.0 3.23 0 0.0 86.7 2.52 5987.8
64.7 2.82 0.0 0.22 9.06 1.66 5.85 10.84 0 0.0 2.81 0 0.0 87.8 2.53 6027.0
62.3 3.53 0.92 1.15 9.38 3.21 4.95 8.44 0 0.0 3.22 0 2.29 83.8 2.56 6193.6
61.68 3.49 0.91 4.42 9.3 3.17 4.89 8.36 0 0.0 3.18 0 0.0 83.3 2.54 6027.0
62.2 3.52 1.2 3.32 9.37 3.2 4.29 8.43 0 0.0 3.21 0 0.71 82.8 2.54 6007.4
62.75 5.58 2.11 4.45 9.42 1.22 2.14 8.42 0 0.0 3.29 0 0.0 82.4 2.52 5772.2
63.17 5.62 2.13 2.18 8.85 1.23 2.16 8.47 0 0.0 3.31 0 2.3 82.5 2.53 5968.2
