SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
50.0 37.0 0.0 0.0 13.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.38 2.51
70.0 16.0 14.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 80.73 2.47
55.0 30.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.62 2.47
66.7 0.0 0.0 0.0 0.0 0.0 33.3 0.0 0.0 0.0 0.0 0.0 0.0 51.75 2.301
65.0 8.0 4.5 0.0 12.5 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 78.6 2.409
65.0 8.0 4.5 0.0 12.5 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 67.4 2.395
65.0 0.0 4.5 0.0 12.5 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 85.7 2.366
65.0 0.0 4.5 0.0 12.5 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 70.3 2.35
65.0 18.0 4.5 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 74.9 2.442
60.0 0.0 0.0 0.0 10.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 92.3 2.402
60.0 0.0 0.0 0.0 10.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 84.8 2.386
60.0 30.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.3 2.501
82.0 10.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.5 2.405
78.5 13.5 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.1 2.421
76.0 16.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 2.455
73.0 19.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.1 2.449
70.5 21.5 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 66.4 2.502
70.5 18.5 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.2 2.548
80.0 10.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.7 2.423
70.5 4.5 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 79.1 2.563
76.5 10.0 0.0 13.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.9 2.47
65.0 10.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 79.7 2.622
72.5 10.0 0.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.1 2.526
