SiO2 Al2O3 Na2O CaO MgO B2O3 Li2O GeO2 P2O5 K2O "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
10.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 40.0 0.0 67.78 2.535
10.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 42.5 0.0 57.82 2.493
10.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 45.0 0.0 55.12 2.441
7.5 0.0 0.0 0.0 46.25 0.0 0.0 0.0 46.25 0.0 56.51 2.455
5.0 0.0 0.0 0.0 52.5 0.0 0.0 0.0 42.5 0.0 63.95 2.57
5.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 45.0 0.0 61.03 2.528
5.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 47.5 0.0 57.59 2.49
5.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 50.0 0.0 54.31 2.448
2.5 0.0 0.0 0.0 48.75 0.0 0.0 0.0 48.75 0.0 55.64 2.471
10.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 42.5 0.0 57.72 2.671
10.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 45.0 0.0 56.23 2.645
10.0 0.0 0.0 42.5 0.0 0.0 0.0 0.0 47.5 0.0 54.86 2.611
7.5 0.0 0.0 46.25 0.0 0.0 0.0 0.0 46.25 0.0 56.16 2.65
5.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 45.0 0.0 59.17 2.702
5.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 47.5 0.0 57.14 2.666
5.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 50.0 0.0 54.81 2.624
2.58 0.0 0.0 47.16 0.0 0.0 0.0 0.0 50.26 0.0 56.49 2.665
50.0 13.0 37.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.38 2.51
70.0 0.0 16.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 80.73 2.47
55.0 15.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.62 2.47
65.0 12.5 18.0 0.0 0.0 4.5 0.0 0.0 0.0 0.0 74.9 2.442
82.0 0.0 10.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 70.5 2.405
78.5 0.0 13.5 8.0 0.0 0.0 0.0 0.0 0.0 0.0 69.1 2.421
76.0 0.0 16.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 2.455
73.0 0.0 19.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 67.1 2.449
70.5 0.0 21.5 8.0 0.0 0.0 0.0 0.0 0.0 0.0 66.4 2.502
70.5 0.0 18.5 11.0 0.0 0.0 0.0 0.0 0.0 0.0 75.2 2.548
70.5 0.0 4.5 25.0 0.0 0.0 0.0 0.0 0.0 0.0 79.1 2.563
76.5 0.0 10.0 13.5 0.0 0.0 0.0 0.0 0.0 0.0 73.9 2.47
65.0 0.0 10.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 79.7 2.622
72.5 0.0 10.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 75.1 2.526
70.5 0.0 12.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 70.3 2.528
70.5 0.0 10.0 19.5 0.0 0.0 0.0 0.0 0.0 0.0 76.2 2.548
70.5 0.0 7.5 22.0 0.0 0.0 0.0 0.0 0.0 0.0 77.8 2.567
78.5 0.0 10.0 11.5 0.0 0.0 0.0 0.0 0.0 0.0 72.2 2.444
62.5 0.0 10.0 27.5 0.0 0.0 0.0 0.0 0.0 0.0 80.6 2.667
74.7 0.0 15.8 9.5 0.0 0.0 0.0 0.0 0.0 0.0 75.3 2.497
70.2 0.0 11.2 18.6 0.0 0.0 0.0 0.0 0.0 0.0 75.8 2.548
82.7 0.0 17.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.25 2.36
59.57 15.04 0.0 0.0 22.83 0.0 0.0 0.0 0.0 0.0 97.23 2.565
76.24 0.68 13.31 9.44 0.0 0.0 0.0 0.0 0.0 0.33 74.0 2.49
71.89 0.99 13.29 10.21 2.51 0.0 0.0 0.0 0.0 1.01 66.85 2.5
82.85 1.4 3.52 0.0 0.0 11.44 0.0 0.0 0.0 0.79 63.0 2.33
72.27 2.26 0.41 0.0 0.0 17.41 1.93 0.0 0.0 5.72 63.74 2.48
78.23 2.46 5.97 1.68 0.0 10.44 0.0 0.0 0.0 1.06 72.8 2.32
76.6 0.0 23.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.9 2.424
76.6 0.0 22.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.1 2.478
63.52 9.17 15.34 0.22 0.6 0.0 3.49 0.0 0.0 7.53 70.7 2.483
60.0 8.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 2.495
60.0 16.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 2.455
60.0 22.5 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 2.45
75.0 5.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.4
70.0 10.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 2.43
60.0 8.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 92.5 2.71
60.0 13.33 0.0 26.67 0.0 0.0 0.0 0.0 0.0 0.0 91.25 2.63
60.0 20.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 91.25 2.6
60.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 98.0 2.605
60.0 0.0 32.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 65.0 2.5
60.0 0.0 24.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 84.0 2.46
60.0 0.0 17.5 0.0 0.0 22.5 0.0 0.0 0.0 0.0 87.0 2.5
64.52 0.0 14.89 19.85 0.0 0.0 0.0 0.0 0.0 0.0 80.1 2.611
64.04 0.0 14.78 19.71 0.0 0.0 0.0 0.0 0.0 0.0 81.6 2.616
63.11 0.0 14.57 19.42 0.0 0.0 0.0 0.0 0.0 0.0 87.6 2.694
77.5 0.0 0.0 0.0 0.0 0.0 22.5 0.0 0.0 0.0 73.55 2.294
72.5 0.0 0.0 0.0 0.0 0.0 27.5 0.0 0.0 0.0 74.46 2.315
82.0 0.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.42 2.365
77.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.49 2.405
72.5 0.0 27.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.93 2.452
67.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.3 2.473
75.0 0.0 5.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 77.5 2.34
75.0 0.0 10.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 75.3 2.371
75.0 0.0 15.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 72.2 2.396
84.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 72.0 2.27
74.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 77.0 2.314
65.0 17.5 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.2 2.447
65.0 15.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.3 2.45
65.0 5.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.4 2.486
80.0 5.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.358
75.0 10.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.9 2.41
70.0 15.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.9 2.465
65.0 20.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.7 2.428
60.0 25.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 77.3 2.472
64.15 11.95 9.45 0.0 0.0 3.67 10.73 0.0 0.0 0.04 77.0 2.41
43.48 0.0 13.04 0.0 0.0 43.48 0.0 0.0 0.0 0.0 56.14 2.261
42.55 0.0 14.89 0.0 0.0 42.55 0.0 0.0 0.0 0.0 58.95 2.311
38.46 0.0 23.08 0.0 0.0 38.46 0.0 0.0 0.0 0.0 75.24 2.48
34.48 0.0 31.03 0.0 0.0 34.48 0.0 0.0 0.0 0.0 71.57 2.518
33.33 0.0 33.33 0.0 0.0 33.33 0.0 0.0 0.0 0.0 70.49 2.536
31.25 0.0 37.5 0.0 0.0 31.25 0.0 0.0 0.0 0.0 63.89 2.561
30.3 0.0 39.39 0.0 0.0 30.3 0.0 0.0 0.0 0.0 63.1 2.56
60.61 0.0 9.09 0.0 0.0 30.3 0.0 0.0 0.0 0.0 54.08 2.237
58.82 0.0 11.76 0.0 0.0 29.41 0.0 0.0 0.0 0.0 62.54 2.308
57.97 0.0 13.04 0.0 0.0 28.99 0.0 0.0 0.0 0.0 66.61 2.366
57.14 0.0 14.29 0.0 0.0 28.57 0.0 0.0 0.0 0.0 71.1 2.396
56.34 0.0 15.49 0.0 0.0 28.17 0.0 0.0 0.0 0.0 75.31 2.43
54.79 0.0 17.81 0.0 0.0 27.4 0.0 0.0 0.0 0.0 76.59 2.471
54.05 0.0 18.92 0.0 0.0 27.03 0.0 0.0 0.0 0.0 76.5 2.48
51.28 0.0 23.08 0.0 0.0 25.64 0.0 0.0 0.0 0.0 75.7 2.517
48.78 0.0 26.83 0.0 0.0 24.39 0.0 0.0 0.0 0.0 73.25 2.518
47.62 0.0 28.57 0.0 0.0 23.81 0.0 0.0 0.0 0.0 72.55 2.521
46.51 0.0 30.23 0.0 0.0 23.26 0.0 0.0 0.0 0.0 70.49 2.526
38.46 0.0 0.0 0.0 0.0 38.46 0.0 0.0 0.0 23.08 58.66 2.389
35.71 0.0 0.0 0.0 0.0 35.71 0.0 0.0 0.0 28.57 57.37 2.423
33.33 0.0 0.0 0.0 0.0 33.33 0.0 0.0 0.0 33.33 52.4 2.434
58.82 0.0 0.0 0.0 0.0 29.41 0.0 0.0 0.0 11.76 56.09 2.29
56.34 0.0 0.0 0.0 0.0 28.17 0.0 0.0 0.0 15.49 62.15 2.362
54.05 0.0 0.0 0.0 0.0 27.03 0.0 0.0 0.0 18.92 65.44 2.445
52.63 0.0 0.0 0.0 0.0 26.32 0.0 0.0 0.0 21.05 65.21 2.46
51.28 0.0 0.0 0.0 0.0 25.64 0.0 0.0 0.0 23.08 63.84 2.473
48.78 0.0 0.0 0.0 0.0 24.39 0.0 0.0 0.0 26.83 61.06 2.477
46.51 0.0 0.0 0.0 0.0 23.26 0.0 0.0 0.0 30.23 51.8 2.465
66.67 0.0 11.11 0.0 0.0 22.22 0.0 0.0 0.0 0.0 68.44 2.328
72.73 0.0 9.09 0.0 0.0 18.18 0.0 0.0 0.0 0.0 68.37 2.315
76.92 0.0 7.69 0.0 0.0 15.38 0.0 0.0 0.0 0.0 63.75 2.31
80.0 0.0 6.67 0.0 0.0 13.33 0.0 0.0 0.0 0.0 68.98 2.302
66.67 0.0 0.0 0.0 0.0 22.22 0.0 0.0 0.0 11.11 60.89 2.323
72.73 0.0 0.0 0.0 0.0 18.18 0.0 0.0 0.0 9.09 63.2 2.317
76.92 0.0 0.0 0.0 0.0 15.38 0.0 0.0 0.0 7.69 67.68 2.315
70.33 1.75 12.48 7.43 7.38 0.0 0.0 0.0 0.0 0.63 70.56 2.51
72.0 0.58 16.25 5.28 5.88 0.0 0.0 0.0 0.0 0.0 69.58 2.47
71.77 1.2 12.04 4.57 4.55 2.28 0.0 0.0 0.0 3.44 73.03 2.47
72.11 0.87 13.94 6.06 6.05 0.59 0.0 0.0 0.0 0.18 71.65 2.48
65.6 10.78 13.56 0.0 6.41 0.0 0.0 0.0 0.0 2.06 71.54 2.46
62.2 10.96 1.6 7.41 13.86 3.92 0.0 0.0 0.0 0.0 86.12 2.52
68.63 11.09 1.07 9.49 0.0 4.78 0.0 0.0 0.0 4.94 86.24 2.64
61.04 10.1 0.0 11.47 11.17 3.69 0.0 0.0 0.0 0.0 86.24 2.64
79.58 1.23 4.06 0.0 0.0 13.55 0.0 0.0 0.0 1.33 65.0 2.27
70.97 1.87 4.1 0.0 0.0 21.03 0.0 0.0 0.0 2.02 58.8 2.24
71.05 1.23 6.08 0.0 0.0 21.64 0.0 0.0 0.0 0.0 59.78 2.24
72.33 1.88 1.03 0.0 0.0 16.52 2.13 0.0 0.0 6.1 63.7 2.29
84.18 1.21 3.98 0.0 0.0 10.63 0.0 0.0 0.0 0.0 63.7 2.27
81.59 3.28 5.4 0.0 0.0 7.98 0.84 0.0 0.0 0.26 75.79 2.32
79.55 0.63 4.17 0.0 0.0 13.91 0.0 0.0 0.0 0.0 61.74 2.35
83.27 1.21 3.98 0.0 0.0 11.53 0.0 0.0 0.0 0.0 62.72 2.23
81.28 1.23 3.03 0.0 0.0 13.49 0.0 0.0 0.0 0.66 61.74 2.24
99.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.08 2.202
73.29 0.0 9.6 0.11 0.0 10.48 0.0 0.0 0.0 5.7 89.74 2.51
68.73 3.11 7.17 0.0 0.0 20.99 0.0 0.0 0.0 0.0 56.0 2.24
80.79 3.13 6.18 1.14 0.0 6.42 0.0 0.0 0.0 0.68 72.0 2.39
56.05 8.56 0.0 19.46 6.96 8.96 0.0 0.0 0.0 0.0 74.0 2.6
71.39 1.17 13.45 9.56 4.43 0.0 0.0 0.0 0.0 0.0 70.56 2.5
68.69 15.56 0.0 0.0 15.75 0.0 0.0 0.0 0.0 0.0 85.5 2.46
83.38 1.33 3.8 0.0 0.0 11.23 0.0 0.0 0.0 0.26 65.46 2.23
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.81 2.203
66.9 16.7 0.0 0.0 0.0 0.0 16.4 0.0 0.0 0.0 82.7 2.428
75.2 12.5 0.0 0.0 0.0 0.0 12.3 0.0 0.0 0.0 80.2 2.384
80.2 10.0 0.0 0.0 0.0 0.0 9.8 0.0 0.0 0.0 79.1 2.358
85.8 7.2 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 76.2 2.319
85.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 76.4 2.258
67.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 54.0 2.46
63.65 12.93 13.83 3.52 3.27 0.0 0.0 0.0 0.0 2.8 74.41 2.48
61.84 9.42 0.0 11.42 11.12 3.68 0.0 0.0 0.0 0.0 86.12 2.63
59.78 9.11 0.0 16.56 9.21 5.33 0.0 0.0 0.0 0.0 85.44 2.57
55.61 22.28 0.0 0.0 22.11 0.0 0.0 0.0 0.0 0.0 104.9 2.63
54.67 22.51 0.0 0.0 22.34 0.0 0.0 0.0 0.0 0.0 106.3 2.643
53.81 22.7 0.0 0.0 22.52 0.0 0.0 0.0 0.0 0.0 109.7 2.65
51.86 23.18 0.0 0.0 22.98 0.0 0.0 0.0 0.0 0.0 113.9 2.668
49.68 4.68 35.64 0.0 0.0 0.0 9.99 0.0 0.0 0.0 68.9 2.47
61.59 0.0 13.64 0.0 0.0 0.0 24.77 0.0 0.0 0.0 68.4 2.47
60.75 8.93 0.0 0.0 0.0 0.0 29.01 0.0 0.0 0.0 82.662 2.428
69.87 6.85 0.0 0.0 0.0 0.0 21.87 0.0 0.0 0.0 79.971 2.384
75.34 5.59 0.0 0.0 0.0 0.0 17.73 0.0 0.0 0.0 78.936 2.358
